Country,CountryCode,Region,IncomeGroup,LifeExp,MajorReligion,MajorReligionPop,Year,Beer_LitersAlcPerYear,Beer_LitersPerYear,Wine_LitersAlcPerYear,Wine_LitersPerYear,Spirits_LitersAlcPerYear,Spirits_LitersPerYear,Total_LitersAlcPerYear
Belgium,BEL,Europe,High_income,70.5,,,1967,7.94,158.8,1.53,12.75,1.26,3.15,10.73
Benin,BEN,Africa,Low_income,50.4,,,1967,0.42,8.399999999999999,0.17,1.4166666666666667,0.11,0.27499999999999997,0.7
Burkina Faso,BFA,Africa,Low_income,50.6,Muslim,8485149,1967,0.34,6.8,0.04,0.33333333333333337,0.01,0.024999999999999998,0.39
Bangladesh,BGD,South_East Asia,Low_income,60.8,Muslim,111393250,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,BGR,Europe,Upper_middle_income,65.3,Eastern Orthodox,4374135,1967,1.74,34.8,3.39,28.250000000000004,2.71,6.7749999999999995,7.84
Bahamas,BHS,Americas,High_income,64.4,Baptist,122500,1967,3.96,79.19999999999999,1.64,13.666666666666666,9.08,22.7,14.68
Belize,BLZ,Americas,Lower_middle_income,63.6,Roman Catholic,129456,1967,0.79,15.8,0.03,0.25,3.63,9.075,4.45
Bolivia (Plurinational State of),BOL,Americas,Lower_middle_income,59.2,,,1967,0.61,12.2,0.05,0.4166666666666667,1.74,4.35,2.4
Brazil,BRA,Americas,Upper_middle_income,65.3,Roman Catholic,123280172,1967,0.72,14.399999999999999,0.44,3.666666666666667,1.46,3.65,2.62
Brunei Darussalam,BRN,Western Pacific,High_income,68.7,Muslim,309962,1967,0.81,16.2,0.03,0.25,0.44,1.0999999999999999,1.28
Bhutan,BTN,South_East Asia,Lower_middle_income,59.4,,,1967,0.52,10.4,0.0,0.0,0.0,0.0,0.52
Botswana,BWA,Africa,Upper_middle_income,54.2,Roman Catholic,1171537,1967,3.4,68.0,0.12,1.0,0.37,0.9249999999999999,3.89
Central African Republic,CAF,Africa,Low_income,43.7,,,1967,1.01,20.2,0.67,5.583333333333334,0.05,0.125,1.7300000000000002
Canada,CAN,Americas,High_income,72.0,Roman Catholic,12728880,1967,4.17,83.39999999999999,0.4,3.3333333333333335,2.4,5.999999999999999,6.970000000000001
Switzerland,CHE,Europe,High_income,72.3,Roman Catholic,2532217,1967,5.15,103.0,6.32,52.66666666666667,2.27,5.675,13.74
Chile,CHL,Americas,Upper_middle_income,70.3,Roman Catholic,7853428,1967,1.5,30.0,8.89,74.08333333333334,1.01,2.525,11.4
China,CHN,Western Pacific,Lower_middle_income,68.0,,,1967,0.01,0.19999999999999998,0.0,0.0,0.69,1.7249999999999999,0.7
Côte d'Ivoire,CIV,Africa,Lower_middle_income,45.6,Muslim,9618121,1967,0.96,19.2,1.49,12.416666666666668,0.1,0.25,2.5500000000000003
Cameroon,CMR,Africa,Lower_middle_income,48.5,,,1967,0.69,13.799999999999999,0.59,4.916666666666667,0.11,0.27499999999999997,1.39
Democratic Republic of the Congo,COD,Africa,Low_income,44.4,,,1967,0.48,9.6,0.02,0.16666666666666669,0.02,0.049999999999999996,0.52
Congo,COG,Africa,Lower_middle_income,50.3,,,1967,0.84,16.799999999999997,0.02,0.16666666666666669,0.1,0.25,0.96
Colombia,COL,Americas,Upper_middle_income,67.2,,,1967,2.52,50.4,0.01,0.08333333333333334,0.98,2.4499999999999997,3.51
Comoros,COM,Africa,Low_income,53.8,,,1967,0.04,0.7999999999999999,0.15,1.25,0.0,0.0,0.19
Cabo Verde,CPV,Africa,Lower_middle_income,63.8,,,1967,0.17,3.4,1.13,9.416666666666666,0.48,1.2,1.7799999999999998
Costa Rica,CRI,Americas,Upper_middle_income,69.3,,,1967,0.54,10.8,0.05,0.4166666666666667,2.78,6.949999999999999,3.37
Cuba,CUB,Americas,Upper_middle_income,66.4,,,1967,1.31,26.2,0.1,0.8333333333333334,0.94,2.3499999999999996,2.35
Cyprus,CYP,Europe,High_income,74.4,Orthodox,653635,1967,0.89,17.8,1.88,15.666666666666666,2.41,6.025,5.18
Czech Republic,CZE,Europe,High_income,68.7,Unknown,4662455,1967,6.81,136.2,1.97,16.416666666666668,1.86,4.65,10.639999999999999
Germany,DEU,Europe,High_income,71.1,Other,32783750,1967,8.21,164.20000000000002,2.42,20.166666666666668,2.88,7.199999999999999,13.510000000000002
Djibouti,DJI,Eastern Mediterranean,Lower_middle_income,52.9,,,1967,1.46,29.2,2.04,17.0,0.0,0.0,3.5
Denmark,DNK,Europe,High_income,70.0,,,1967,5.98,119.60000000000001,0.63,5.25,1.28,3.1999999999999997,7.890000000000001
Dominican Republic,DOM,Americas,Upper_middle_income,63.0,,,1967,0.38,7.6,0.01,0.08333333333333334,1.43,3.5749999999999997,1.8199999999999998
Algeria,DZA,Africa,Upper_middle_income,62.4,,,1967,0.33,6.6,0.5,4.166666666666667,0.05,0.125,0.8800000000000001
Ecuador,ECU,Americas,Lower_middle_income,65.9,,,1967,0.66,13.2,0.01,0.08333333333333334,0.78,1.95,1.4500000000000002
Egypt,EGY,Eastern Mediterranean,Lower_middle_income,61.8,,,1967,0.05,1.0,0.02,0.16666666666666669,0.41,1.025,0.48
Eritrea,ERI,Africa,Low_income,54.5,,,1967,0.74,14.799999999999999,0.0,0.0,0.0,0.0,0.74
Spain,ESP,Europe,High_income,73.2,,,1967,2.1,42.0,9.26,77.16666666666667,3.18,7.95,14.54
Ethiopia,ETH,Africa,Low_income,55.6,Orthodox,32092182,1967,0.84,16.799999999999997,0.0,0.0,0.0,0.0,0.84
Finland,FIN,Europe,High_income,70.8,Lutheran,4207192,1967,1.01,20.2,0.62,5.166666666666667,0.93,2.325,2.56
Fiji,FJI,Western Pacific,Upper_middle_income,60.4,Methodist,289923,1967,0.75,15.0,0.04,0.33333333333333337,0.47,1.1749999999999998,1.26
France,FRA,Europe,High_income,71.8,,,1967,2.73,54.599999999999994,16.97,141.41666666666666,3.35,8.375,23.05
Micronesia (Federated States of),FSM,Western Pacific,Lower_middle_income,59.8,Roman Catholic,56365,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,GAB,Africa,Upper_middle_income,53.9,,,1967,1.81,36.199999999999996,4.74,39.5,0.3,0.7499999999999999,6.8500000000000005
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,High_income,70.5,Roman Catholic,37583962,1967,6.21,124.19999999999999,0.37,3.0833333333333335,1.1,2.75,7.68
Ghana,GHA,Africa,Low_income,54.1,Pentecostal,6980792,1967,0.3,5.999999999999999,0.0,0.0,0.01,0.024999999999999998,0.31
Guinea,GIN,Africa,Low_income,49.8,Muslim,9358718,1967,0.15,2.9999999999999996,0.01,0.08333333333333334,0.0,0.0,0.16
Gambia,GMB,Africa,Low_income,52.9,,,1967,0.09,1.7999999999999998,0.16,1.3333333333333335,0.02,0.049999999999999996,0.27
Guinea_Bissau,GNB,Africa,Low_income,46.4,Muslim,650402,1967,0.18,3.5999999999999996,1.23,10.25,1.05,2.625,2.46
Greece,GRC,Europe,High_income,71.3,,,1967,2.4,47.99999999999999,4.56,38.0,3.13,7.824999999999999,10.09
Guatemala,GTM,Americas,Lower_middle_income,62.5,,,1967,0.42,8.399999999999999,0.0,0.0,1.55,3.875,1.97
Guyana,GUY,Americas,Lower_middle_income,54.4,,,1967,0.97,19.4,0.0,0.0,2.41,6.025,3.38
Honduras,HND,Americas,Lower_middle_income,63.7,,,1967,0.67,13.4,0.02,0.16666666666666669,0.97,2.425,1.6600000000000001
Haiti,HTI,Americas,Low_income,51.8,,,1967,0.0,0.0,0.0,0.0,5.49,13.725,5.49
Hungary,HUN,Europe,High_income,64.9,Roman Catholic,3691389,1967,3.2,64.0,4.83,40.25,2.39,5.975,10.420000000000002
Indonesia,IDN,South_East Asia,Lower_middle_income,62.3,Muslim,207176162,1967,0.01,0.19999999999999998,0.0,0.0,0.03,0.075,0.04
India,IND,South_East Asia,Lower_middle_income,57.5,Hindu,827578868,1967,0.0,0.0,0.0,0.0,0.69,1.7249999999999999,0.69
Ireland,IRL,Europe,High_income,71.0,Roman Catholic,3861335,1967,6.0,120.0,0.47,3.9166666666666665,1.54,3.85,8.01
Iran (Islamic Republic of),IRN,Eastern Mediterranean,Lower_middle_income,64.4,Muslim,79598054,1967,0.03,0.6,0.0,0.0,0.15,0.37499999999999994,0.18
Iraq,IRQ,Eastern Mediterranean,Lower_middle_income,61.4,,,1967,0.06,1.2,0.0,0.0,0.33,0.825,0.39
Iceland,ISL,Europe,High_income,72.2,,,1967,0.94,18.799999999999997,0.27,2.2500000000000004,3.21,8.024999999999999,4.42
Israel,ISR,Europe,High_income,72.2,Jewish,4476225,1967,0.88,17.599999999999998,1.92,16.0,1.49,3.7249999999999996,4.29
Italy,ITA,Europe,High_income,72.9,,,1967,0.69,13.799999999999999,16.2,135.0,2.12,5.3,19.01
Jamaica,JAM,Americas,Upper_middle_income,63.4,No Religion,571988,1967,1.47,29.4,0.06,0.5,1.52,3.8,3.05
Jordan,JOR,Eastern Mediterranean,Lower_middle_income,64.3,,,1967,0.07,1.4000000000000001,0.0,0.0,0.09,0.22499999999999998,0.16
Japan,JPN,Western Pacific,High_income,75.0,,,1967,1.49,29.799999999999997,0.04,0.33333333333333337,1.61,4.025,3.14
Kenya,KEN,Africa,Low_income,53.2,Protestant,15777430,1967,2.4,47.99999999999999,0.01,0.08333333333333334,0.59,1.4749999999999999,2.9999999999999996
Kiribati,KIR,Western Pacific,Lower_middle_income,57.9,Roman Catholic,63116,1967,0.56,11.200000000000001,0.02,0.16666666666666669,0.19,0.475,0.77
Saint Kitts and Nevis,KNA,Americas,Upper_middle_income,63.2,,,1967,0.61,12.2,0.15,1.25,3.56,8.9,4.32
Republic of Korea,KOR,Western Pacific,High_income,72.7,No Religion,27498715,1967,0.15,2.9999999999999996,0.0,0.0,0.88,2.1999999999999997,1.03
Kuwait,KWT,Eastern Mediterranean,High_income,67.9,,,1967,0.0,0.0,0.0,0.0,0.09,0.22499999999999998,0.09
Lao People's Democratic Republic,LAO,Western Pacific,Low_income,57.2,Buddhist,4201993,1967,0.04,0.7999999999999999,0.01,0.08333333333333334,3.95,9.875,4.0
Lebanon,LBN,Eastern Mediterranean,Upper_middle_income,69.7,,,1967,0.3,5.999999999999999,0.42,3.5,2.32,5.799999999999999,3.04
Liberia,LBR,Africa,Low_income,52.4,Roman Catholic,2975675,1967,0.42,8.399999999999999,0.05,0.4166666666666667,1.43,3.5749999999999997,1.9
Libya,LBY,Eastern Mediterranean,Upper_middle_income,64.4,,,1967,0.34,6.8,0.4,3.3333333333333335,0.13,0.325,0.87
Saint Lucia,LCA,Americas,Upper_middle_income,63.0,Roman Catholic,105755,1967,0.43,8.6,0.37,3.0833333333333335,6.88,17.2,7.68
Sri Lanka,LKA,South_East Asia,Lower_middle_income,65.4,Buddhist,14272056,1967,0.04,0.7999999999999999,0.0,0.0,0.18,0.44999999999999996,0.22
Lesotho,LSO,Africa,Lower_middle_income,43.0,,,1967,0.87,17.4,0.0,0.0,0.0,0.0,0.87
Luxembourg,LUX,Europe,High_income,71.6,,,1967,5.47,109.39999999999999,9.69,80.75,3.11,7.7749999999999995,18.27
Morocco,MAR,Eastern Mediterranean,Lower_middle_income,60.9,,,1967,0.27,5.4,0.48,4.0,0.21,0.5249999999999999,0.96
Madagascar,MDG,Africa,Low_income,55.1,,,1967,0.13,2.6,0.57,4.75,1.26,3.15,1.96
Mexico,MEX,Americas,Upper_middle_income,67.0,Roman Catholic,92924489,1967,2.23,44.599999999999994,0.04,0.33333333333333337,1.2,2.9999999999999996,3.4699999999999998
Mali,MLI,Africa,Low_income,48.9,,,1967,0.01,0.19999999999999998,0.01,0.08333333333333334,0.03,0.075,0.05
Malta,MLT,Europe,High_income,70.6,,,1967,1.36,27.2,0.12,1.0,1.32,3.3,2.8
Myanmar,MMR,South_East Asia,Low_income,57.2,Buddhist,45185449,1967,0.01,0.19999999999999998,0.0,0.0,0.33,0.825,0.34
Mongolia,MNG,Western Pacific,Lower_middle_income,60.0,Buddhist,1009357,1967,0.12,2.4,0.0,0.0,1.73,4.324999999999999,1.85
Mozambique,MOZ,Africa,Low_income,46.3,Roman Catholic,5748176,1967,0.25,5.0,1.27,10.583333333333334,0.38,0.95,1.9
Mauritania,MRT,Africa,Low_income,53.6,,,1967,0.03,0.6,0.02,0.16666666666666669,0.0,0.0,0.05
Mauritius,MUS,Africa,Upper_middle_income,64.8,Hindu,469313,1967,0.61,12.2,0.07,0.5833333333333334,1.55,3.875,2.23
Malawi,MWI,Africa,Low_income,51.0,Roman Catholic,13581623,1967,0.07,1.4000000000000001,0.01,0.08333333333333334,0.05,0.125,0.13
Malaysia,MYS,Western Pacific,Upper_middle_income,64.6,Muslim,17375794,1967,0.32,6.3999999999999995,0.01,0.08333333333333334,0.16,0.39999999999999997,0.49
Namibia,NAM,Africa,Upper_middle_income,58.1,,,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,NER,Africa,Low_income,50.7,Muslim,16978889,1967,0.05,1.0,0.07,0.5833333333333334,0.01,0.024999999999999998,0.13
Nigeria,NGA,Africa,Lower_middle_income,47.0,,,1967,0.11,2.1999999999999997,0.0,0.0,0.01,0.024999999999999998,0.12
Nicaragua,NIC,Americas,Lower_middle_income,64.0,Roman Catholic,2652985,1967,0.64,12.799999999999999,0.01,0.08333333333333334,3.49,8.725,4.140000000000001
Netherlands,NLD,Europe,High_income,71.4,,,1967,3.08,61.6,0.64,5.333333333333334,2.26,5.6499999999999995,5.98
Norway,NOR,Europe,High_income,70.6,,,1967,1.99,39.8,0.28,2.3333333333333335,1.88,4.699999999999999,4.15
Nepal,NPL,South_East Asia,Low_income,59.2,Hindu,21551492,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,NZL,Western Pacific,High_income,72.0,No Religion,1635348,1967,8.19,163.79999999999998,0.64,5.333333333333334,1.67,4.175,10.5
Oman,OMN,Eastern Mediterranean,High_income,66.0,,,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,PAK,Eastern Mediterranean,Lower_middle_income,56.7,,,1967,0.01,0.19999999999999998,0.0,0.0,0.0,0.0,0.01
Panama,PAN,Americas,Upper_middle_income,67.2,,,1967,1.87,37.4,0.07,0.5833333333333334,1.96,4.8999999999999995,3.9000000000000004
Peru,PER,Americas,Upper_middle_income,66.9,Roman Catholic,17635339,1967,1.41,28.199999999999996,0.29,2.4166666666666665,4.23,10.575000000000001,5.930000000000001
Philippines,PHL,Western Pacific,Lower_middle_income,59.8,Roman Catholic,80304061,1967,0.7,13.999999999999998,0.0,0.0,1.42,3.55,2.12
Papua New Guinea,PNG,Western Pacific,Lower_middle_income,53.5,,,1967,0.42,8.399999999999999,0.04,0.33333333333333337,0.2,0.5,0.6599999999999999
Poland,POL,Europe,Upper_middle_income,67.0,Roman Catholic,33331533,1967,1.96,39.199999999999996,0.73,6.083333333333333,4.25,10.625,6.9399999999999995
Democratic People's Republic of Korea,PRK,South_East Asia,Low_income,62.6,,,1967,0.52,10.4,0.0,0.0,1.93,4.824999999999999,2.45
Portugal,PRT,Europe,High_income,70.9,Roman Catholic,7281887,1967,0.65,13.0,16.09,134.08333333333334,0.29,0.7249999999999999,17.029999999999998
Paraguay,PRY,Americas,Lower_middle_income,64.7,Roman Catholic,3488086,1967,0.38,7.6,0.41,3.4166666666666665,3.27,8.174999999999999,4.0600000000000005
Qatar,QAT,Eastern Mediterranean,High_income,67.9,Muslim,576391,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,ROU,Europe,Upper_middle_income,65.7,Orthodox,16307004,1967,1.16,23.199999999999996,3.96,33.0,2.0,5.0,7.12
Russian Federation,RUS,Europe,Upper_middle_income,60.5,,,1967,1.09,21.8,1.44,12.0,4.92,12.299999999999999,7.45
Rwanda,RWA,Africa,Low_income,55.7,Roman Catholic,4599371,1967,0.29,5.799999999999999,0.0,0.0,0.0,0.0,0.29
Saudi Arabia,SAU,Eastern Mediterranean,High_income,65.4,,,1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,SDN,Eastern Mediterranean,Lower_middle_income,53.3,,,1967,1.23,24.599999999999998,0.01,0.08333333333333334,0.06,0.15,1.3
Senegal,SEN,Africa,Low_income,55.4,,,1967,0.17,3.4,0.44,3.666666666666667,0.06,0.15,0.6699999999999999
Singapore,SGP,Western Pacific,High_income,76.3,Buddhist,1032879,1967,1.35,27.0,0.04,0.33333333333333337,0.64,1.5999999999999999,2.0300000000000002
Solomon Islands,SLB,Western Pacific,Lower_middle_income,59.6,,,1967,0.31,6.199999999999999,0.02,0.16666666666666669,0.1,0.25,0.43000000000000005
Sierra Leone,SLE,Africa,Low_income,39.4,,,1967,0.14,2.8000000000000003,0.01,0.08333333333333334,0.09,0.22499999999999998,0.24000000000000002
El Salvador,SLV,Americas,Lower_middle_income,63.1,,,1967,0.34,6.8,0.01,0.08333333333333334,1.18,2.9499999999999997,1.53
Somalia,SOM,Eastern Mediterranean,Low_income,46.1,,,1967,0.01,0.19999999999999998,0.01,0.08333333333333334,0.01,0.024999999999999998,0.03
Sao Tome and Principe,STP,Africa,Lower_middle_income,57.5,Roman Catholic,99570,1967,0.99,19.799999999999997,6.77,56.416666666666664,0.01,0.024999999999999998,7.77
Suriname,SUR,Americas,Upper_middle_income,65.2,Roman Catholic,262320,1967,1.72,34.4,0.04,0.33333333333333337,3.91,9.775,5.67
Slovakia,SVK,Europe,High_income,66.7,Roman Catholic,3347277,1967,6.46,129.2,2.4,20.0,1.95,4.875,10.809999999999999
Sweden,SWE,Europe,High_income,71.6,,,1967,2.87,57.4,0.69,5.75,3.4,8.5,6.96
Swaziland,SWZ,Africa,Lower_middle_income,45.0,,,1967,6.26,125.19999999999999,0.0,0.0,0.0,0.0,6.26
Seychelles,SYC,Africa,Upper_middle_income,66.7,Roman Catholic,67280,1967,1.4,27.999999999999996,0.63,5.25,0.38,0.95,2.4099999999999997
Syrian Arab Republic,SYR,Eastern Mediterranean,Lower_middle_income,65.8,,,1967,0.03,0.6,0.0,0.0,0.09,0.22499999999999998,0.12
Chad,TCD,Africa,Low_income,44.3,,,1967,0.25,5.0,0.17,1.4166666666666667,0.02,0.049999999999999996,0.44000000000000006
Togo,TGO,Africa,Low_income,50.0,,,1967,3.3,65.99999999999999,0.25,2.0833333333333335,0.19,0.475,3.7399999999999998
Thailand,THA,South_East Asia,Lower_middle_income,65.7,Buddhist,61746429,1967,0.08,1.5999999999999999,0.0,0.0,1.57,3.925,1.6500000000000001
Timor_Leste,TLS,South_East Asia,Lower_middle_income,57.2,Roman Catholic,715285,1967,0.08,1.5999999999999999,0.26,2.166666666666667,0.1,0.25,0.44000000000000006
Trinidad and Tobago,TTO,Americas,High_income,60.5,Roman Catholic,285671,1967,0.89,17.8,0.07,0.5833333333333334,1.98,4.949999999999999,2.94
Tunisia,TUN,Eastern Mediterranean,Lower_middle_income,66.4,,,1967,0.43,8.6,1.53,12.75,0.15,0.37499999999999994,2.11
Turkey,TUR,Europe,Upper_middle_income,65.4,,,1967,0.09,1.7999999999999998,0.15,1.25,0.09,0.22499999999999998,0.32999999999999996
United Republic of Tanzania,TZA,Africa,Low_income,53.3,,,1967,0.16,3.1999999999999997,0.01,0.08333333333333334,0.18,0.44999999999999996,0.35
Uganda,UGA,Africa,Low_income,50.3,Roman Catholic,10242594,1967,0.21,4.199999999999999,0.01,0.08333333333333334,0.31,0.7749999999999999,0.53
Uruguay,URY,Americas,Upper_middle_income,67.7,,,1967,1.3,26.0,4.08,34.0,0.41,1.025,5.79
United States of America,USA,Americas,High_income,69.3,,,1967,4.05,80.99999999999999,0.95,7.916666666666667,3.97,9.925,8.97
Venezuela (Bolivarian Republic of),VEN,Americas,Upper_middle_income,66.2,,,1967,2.87,57.4,0.1,0.8333333333333334,2.99,7.4750000000000005,5.960000000000001
Viet Nam,VNM,Western Pacific,Low_income,65.9,No Religion,61570544,1967,0.26,5.2,0.0,0.0,0.59,1.4749999999999999,0.85
Vanuatu,VUT,Western Pacific,Lower_middle_income,62.4,Presbyterian,65345,1967,1.67,33.4,3.18,26.500000000000004,0.26,0.65,5.109999999999999
Samoa,WSM,Western Pacific,Lower_middle_income,64.1,Congregational,56818,1967,0.4,8.0,0.01,0.08333333333333334,0.47,1.1749999999999998,0.88
Yemen,YEM,Eastern Mediterranean,Low_income,54.7,,,1967,0.55,11.0,0.0,0.0,0.01,0.024999999999999998,0.56
South Africa,ZAF,Africa,Upper_middle_income,51.8,No Religion,6767165,1967,0.71,14.2,1.92,16.0,1.93,4.824999999999999,4.56
Zambia,ZMB,Africa,Low_income,50.3,Protestant,9436231,1967,0.97,19.4,0.04,0.33333333333333337,0.07,0.17500000000000002,1.08
Zimbabwe,ZWE,Africa,Low_income,49.8,,,1967,0.54,10.8,0.0,0.0,1.41,3.5249999999999995,1.95
Afghanistan,AFG,Eastern Mediterranean,Low_income,50.0,,,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Africa,Lower_middle_income,44.5,,,1968,1.2,23.999999999999996,3.65,30.416666666666668,0.55,1.375,5.3999999999999995
Albania,ALB,Europe,Lower_middle_income,64.8,Muslim,1587608,1968,0.53,10.6,0.36,3.0,0.55,1.375,1.44
Argentina,ARG,Americas,Upper_middle_income,66.7,,,1968,0.74,14.799999999999999,14.93,124.41666666666667,1.98,4.949999999999999,17.65
Antigua and Barbuda,ATG,Americas,High_income,64.1,Anglican,19767,1968,0.82,16.4,0.04,0.33333333333333337,3.89,9.725,4.75
Australia,AUS,Western Pacific,High_income,72.6,No Religion,6933708,1968,8.33,166.6,1.4,11.666666666666666,1.3,3.25,11.030000000000001
Austria,AUT,Europe,High_income,70.6,Roman Catholic,5915421,1968,6.8,136.0,5.0,41.66666666666667,1.4,3.4999999999999996,13.200000000000001
Burundi,BDI,Africa,Low_income,48.0,Roman Catholic,4941833,1968,1.39,27.799999999999997,0.03,0.25,0.0,0.0,1.42
Belgium,BEL,Europe,High_income,70.5,,,1968,7.99,159.79999999999998,1.72,14.333333333333334,1.44,3.5999999999999996,11.15
Benin,BEN,Africa,Low_income,50.4,,,1968,0.46,9.2,0.21,1.75,0.15,0.37499999999999994,0.8200000000000001
Burkina Faso,BFA,Africa,Low_income,50.6,Muslim,8485149,1968,0.36,7.199999999999999,0.04,0.33333333333333337,0.01,0.024999999999999998,0.41
Bangladesh,BGD,South_East Asia,Low_income,60.8,Muslim,111393250,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,BGR,Europe,Upper_middle_income,65.3,Eastern Orthodox,4374135,1968,1.86,37.2,4.27,35.58333333333333,2.88,7.199999999999999,9.01
Bahamas,BHS,Americas,High_income,64.4,Baptist,122500,1968,4.05,80.99999999999999,1.57,13.083333333333334,9.52,23.799999999999997,15.14
Belize,BLZ,Americas,Lower_middle_income,63.6,Roman Catholic,129456,1968,0.94,18.799999999999997,0.07,0.5833333333333334,3.62,9.049999999999999,4.63
Bolivia (Plurinational State of),BOL,Americas,Lower_middle_income,59.2,,,1968,0.6,11.999999999999998,0.04,0.33333333333333337,2.0,5.0,2.64
Brazil,BRA,Americas,Upper_middle_income,65.3,Roman Catholic,123280172,1968,0.78,15.6,0.47,3.9166666666666665,1.41,3.5249999999999995,2.66
Brunei Darussalam,BRN,Western Pacific,High_income,68.7,Muslim,309962,1968,0.84,16.799999999999997,0.03,0.25,0.43,1.075,1.3
Bhutan,BTN,South_East Asia,Lower_middle_income,59.4,,,1968,0.55,11.0,0.0,0.0,0.0,0.0,0.55
Botswana,BWA,Africa,Upper_middle_income,54.2,Roman Catholic,1171537,1968,3.18,63.6,0.12,1.0,0.42,1.0499999999999998,3.72
Central African Republic,CAF,Africa,Low_income,43.7,,,1968,1.0,20.0,0.63,5.25,0.05,0.125,1.68
Canada,CAN,Americas,High_income,72.0,Roman Catholic,12728880,1968,4.24,84.8,0.42,3.5,2.55,6.374999999999999,7.21
Switzerland,CHE,Europe,High_income,72.3,Roman Catholic,2532217,1968,4.94,98.8,6.22,51.833333333333336,2.53,6.324999999999999,13.69
Chile,CHL,Americas,Upper_middle_income,70.3,Roman Catholic,7853428,1968,1.39,27.799999999999997,9.18,76.5,1.03,2.5749999999999997,11.6
China,CHN,Western Pacific,Lower_middle_income,68.0,,,1968,0.01,0.19999999999999998,0.0,0.0,0.74,1.8499999999999999,0.75
Côte d'Ivoire,CIV,Africa,Lower_middle_income,45.6,Muslim,9618121,1968,0.96,19.2,1.77,14.75,0.14,0.35000000000000003,2.87
Cameroon,CMR,Africa,Lower_middle_income,48.5,,,1968,0.73,14.6,0.49,4.083333333333333,0.09,0.22499999999999998,1.31
Democratic Republic of the Congo,COD,Africa,Low_income,44.4,,,1968,0.35,6.999999999999999,0.03,0.25,0.0,0.0,0.38
Congo,COG,Africa,Lower_middle_income,50.3,,,1968,1.08,21.6,0.03,0.25,0.11,0.27499999999999997,1.2200000000000002
Colombia,COL,Americas,Upper_middle_income,67.2,,,1968,2.6,52.0,0.01,0.08333333333333334,0.91,2.275,3.52
Comoros,COM,Africa,Low_income,53.8,,,1968,0.06,1.2,0.15,1.25,0.0,0.0,0.21
Cabo Verde,CPV,Africa,Lower_middle_income,63.8,,,1968,0.22,4.3999999999999995,1.41,11.75,0.6,1.4999999999999998,2.23
Costa Rica,CRI,Americas,Upper_middle_income,69.3,,,1968,0.54,10.8,0.05,0.4166666666666667,2.89,7.225,3.4800000000000004
Cuba,CUB,Americas,Upper_middle_income,66.4,,,1968,0.74,14.799999999999999,0.19,1.5833333333333335,0.94,2.3499999999999996,1.8699999999999999
Cyprus,CYP,Europe,High_income,74.4,Orthodox,653635,1968,0.91,18.2,1.46,12.166666666666666,2.38,5.949999999999999,4.75
Czech Republic,CZE,Europe,High_income,68.7,Unknown,4662455,1968,6.62,132.4,1.69,14.083333333333334,2.3,5.749999999999999,10.61
Germany,DEU,Europe,High_income,71.1,Other,32783750,1968,8.34,166.79999999999998,2.37,19.75,3.34,8.35,14.05
Djibouti,DJI,Eastern Mediterranean,Lower_middle_income,52.9,,,1968,1.62,32.4,2.34,19.5,0.0,0.0,3.96
Denmark,DNK,Europe,High_income,70.0,,,1968,6.16,123.2,0.63,5.25,1.27,3.175,8.06
Dominican Republic,DOM,Americas,Upper_middle_income,63.0,,,1968,0.52,10.4,0.02,0.16666666666666669,1.34,3.35,1.8800000000000001
Algeria,DZA,Africa,Upper_middle_income,62.4,,,1968,0.34,6.8,0.82,6.833333333333333,0.15,0.37499999999999994,1.3099999999999998
Ecuador,ECU,Americas,Lower_middle_income,65.9,,,1968,0.72,14.399999999999999,0.01,0.08333333333333334,0.85,2.125,1.58
Egypt,EGY,Eastern Mediterranean,Lower_middle_income,61.8,,,1968,0.04,0.7999999999999999,0.02,0.16666666666666669,0.36,0.8999999999999999,0.42
Eritrea,ERI,Africa,Low_income,54.5,,,1968,0.72,14.399999999999999,0.0,0.0,0.0,0.0,0.72
Spain,ESP,Europe,High_income,73.2,,,1968,2.28,45.599999999999994,9.45,78.75,3.18,7.95,14.909999999999998
Ethiopia,ETH,Africa,Low_income,55.6,Orthodox,32092182,1968,0.81,16.2,0.0,0.0,0.0,0.0,0.81
Finland,FIN,Europe,High_income,70.8,Lutheran,4207192,1968,1.28,25.599999999999998,0.65,5.416666666666667,0.93,2.325,2.8600000000000003
Fiji,FJI,Western Pacific,Upper_middle_income,60.4,Methodist,289923,1968,0.88,17.599999999999998,0.06,0.5,0.67,1.675,1.6099999999999999
France,FRA,Europe,High_income,71.8,,,1968,2.67,53.4,16.94,141.16666666666669,2.87,7.175,22.48
